序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,113年1月至113年12月全年薪資所得（金額萬元）
1,2025,主管及監督人員,R000000000,10224,67423,88
2,2025,高階主管(總經理及總執行長),R000000000,686,139522,179.5
3,2025,中階主管(經理),R000000000,3376,84921,108.6
4,2025,監督人員(含現場及辦公室主任、科/股長),R000000000,6162,49809,66.3
5,2025,專業人員,R000000000,7354,41309,55.2
6,2025,統計及精算專業人員,R000000000,-,-,-
7,2025,農、林、漁、牧業專業人員,R000000000,-,-,-
8,2025,電機、電子工程師,R000000000,---,---,---
9,2025,建築工程師(含建築師),R000000000,-,-,-
10,2025,景觀設計師、都市及交通規劃師,R000000000,-,-,-
11,2025,室內設計師,R000000000,---,---,---
12,2025,平面及多媒體設計師,R000000000,975,39640,53.5
13,2025,產品及服裝設計師(含工業設計),R000000000,-,-,-
14,2025,醫師,R000000000,-,-,-
15,2025,護理人員,R000000000,---,---,---
16,2025,獸醫師,R000000000,---,---,---
17,2025,勞安及衛生管理人員(含工業安全管理師),R000000000,---,---,---
18,2025,營養師,R000000000,---,---,---
19,2025,聽力及語言治療師,R000000000,-,-,-
20,2025,其他醫療保健專業人員,R000000000,-,-,-
21,2025,補教業教師,R000000000,-,-,-
22,2025,會(審)計師,R000000000,-,-,-
23,2025,風險控管人員,R000000000,---,---,---
24,2025,財務及投資規劃分析人員,R000000000,---,---,---
25,2025,專案管理師(含經營管理顧問),R000000000,161,50955,68.6
26,2025,稽核人員,R000000000,---,---,---
27,2025,人力資源管理師,R000000000,---,---,---
28,2025,廣告及行銷專業人員(含企劃),R000000000,3190,40336,53.9
29,2025,公關專業人員,R000000000,---,---,---
30,2025,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),R000000000,187,55766,82.9
31,2025,編輯、作家及有關撰稿人員,R000000000,---,---,---
32,2025,翻譯人員,R000000000,---,---,---
33,2025,表演藝術人員(含演員、配音員),R000000000,1609,36512,47.7
34,2025,電影、舞台及有關導演與製作人,R000000000,---,---,---
35,2025,廣播、電視及其他媒體播報員,R000000000,---,---,---
36,2025,其他專業人員,R000000000,---,---,---
37,2025,技術員及助理專業人員,R000000000,12636,47766,63.2
38,2025,營建工程技術員(含建築、土木、景觀、測量、水利、消防),R000000000,76,41711,51
39,2025,電機、電子技術員,R000000000,---,---,---
40,2025,機械技術員(含造船、輪機、鑄造),R000000000,-,-,-
41,2025,品管、工管及生管技術員,R000000000,-,-,-
42,2025,製圖員,R000000000,-,-,-
43,2025,環境工程技術員,R000000000,---,---,---
44,2025,焚化爐、水處理及氣(液)體設備操作員,R000000000,-,-,-
45,2025,物理、職能(復健)治療技術員,R000000000,-,-,-
46,2025,勞安及衛生技術員,R000000000,-,-,-
47,2025,其他醫療保健助理專業人員,R000000000,---,---,---
48,2025,會計人員,R000000000,---,---,---
49,2025,統計及精算助理專業人員,R000000000,-,-,-
50,2025,工商業銷售代表(含業務員),R000000000,889,39816,52.5
51,2025,採購員,R000000000,119,39329,51.2
52,2025,會議及活動規劃人員,R000000000,---,---,---
53,2025,專業秘書,R000000000,143,49378,72.4
54,2025,法務人員,R000000000,---,---,---
55,2025,職業運動員,R000000000,343,162702,171.8
56,2025,運動、健身及休閒娛樂指導員,R000000000,7285,48393,67.6
57,2025,攝影師、攝影記者,R000000000,---,---,---
58,2025,節目助理及舞台相關工作人員,R000000000,2256,36768,47.2
59,2025,資訊管理及維護技術員,R000000000,328,38577,47.9
60,2025,廣播及視聽技術員(含放映員),R000000000,473,42748,54.4
61,2025,電信技術員,R000000000,-,-,-
62,2025,其他技術員及助理專業人員,R000000000,-,-,-
63,2025,事務支援人員,R000000000,12834,34450,43.5
64,2025,總務,R000000000,810,34514,43.9
65,2025,辦公室綜合事務人員(含資料登錄、一般事務秘書),R000000000,3413,34798,45
66,2025,銀行、郵局櫃台事務人員,R000000000,-,-,-
67,2025,收帳、收費人員(含帳款催收),R000000000,---,---,---
68,2025,接待員及服務台事務人員(含總機),R000000000,5452,33548,41.3
